Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,K,D,Daily_Return,Moving_Avg_20,Moving_Avg_50
2023-02-20 00:00:00+05:30,222.49,224.37,219.28,219.72,519662,0.0,0.0,,,,,,
2023-02-21 00:00:00+05:30,220.02,228.42,217.55,221.06,1058169,0.0,0.0,,,,0.61,,
2023-02-22 00:00:00+05:30,219.28,223.48,216.56,217.3,470435,0.0,0.0,,,,-1.7,,
2023-02-23 00:00:00+05:30,217.55,219.03,210.13,211.96,865514,0.0,0.0,,,,-2.46,,
2023-02-24 00:00:00+05:30,212.01,216.16,207.76,209.39,586453,0.0,0.0,,,,-1.21,,
2023-02-27 00:00:00+05:30,209.29,209.29,202.37,205.93,600032,0.0,0.0,,,,-1.65,,
2023-02-28 00:00:00+05:30,207.46,234.16,205.83,232.03,7270738,0.0,0.0,,,,12.68,,
2023-03-01 00:00:00+05:30,227.93,239.35,225.66,231.09,3902719,0.0,0.0,,,,-0.4,,
2023-03-02 00:00:00+05:30,227.44,230.25,224.27,226.3,1152491,0.0,0.0,,,,-2.08,,
2023-03-03 00:00:00+05:30,227.44,246.87,226.55,239.94,5060986,0.0,0.0,,,,6.03,,
2023-03-06 00:00:00+05:30,241.08,270.95,239.99,266.45,9063044,0.0,0.0,,,,11.04,,
2023-03-08 00:00:00+05:30,262.05,278.86,258.34,275.0,5458331,0.0,0.0,,,,3.21,,
2023-03-09 00:00:00+05:30,273.91,273.91,264.52,266.74,2088735,0.0,0.0,,,,-3.0,,
2023-03-10 00:00:00+05:30,262.05,269.96,259.62,265.36,1994714,0.0,0.0,71.4,82.35,,-0.52,,
2023-03-13 00:00:00+05:30,265.36,270.6,252.31,255.96,1268834,0.0,0.0,65.62,70.07,,-3.54,,
2023-03-14 00:00:00+05:30,257.25,262.54,245.04,247.76,1794884,0.0,0.0,60.86,59.34,70.59,-3.21,,
2023-03-15 00:00:00+05:30,249.98,258.44,248.2,253.34,1748338,0.0,0.0,64.45,66.65,65.35,2.26,,
2023-03-16 00:00:00+05:30,253.15,254.58,244.44,251.81,1438489,0.0,0.0,66.48,64.64,63.54,-0.61,,
2023-03-17 00:00:00+05:30,254.13,261.7,245.48,249.09,1426124,0.0,0.0,66.39,61.09,64.12,-1.08,,
2023-03-20 00:00:00+05:30,249.09,252.9,241.28,243.26,1144417,0.0,0.0,65.12,51.25,58.99,-2.34,239.47,
2023-03-21 00:00:00+05:30,245.73,252.7,244.54,249.24,1456100,0.0,0.0,58.33,45.74,52.69,2.46,240.95,
2023-03-22 00:00:00+05:30,249.24,253.39,246.03,248.3,1821148,0.0,0.0,58.33,44.02,47.01,-0.38,242.31,
2023-03-23 00:00:00+05:30,246.72,249.54,243.75,245.19,670337,0.0,0.0,59.29,35.63,41.8,-1.25,243.71,
2023-03-24 00:00:00+05:30,245.19,246.67,231.93,234.06,938094,0.0,0.0,47.03,4.53,28.06,-4.54,244.81,
2023-03-27 00:00:00+05:30,235.2,236.09,222.54,224.57,1022382,0.0,0.0,24.5,3.6,14.59,-4.06,245.57,
2023-03-28 00:00:00+05:30,224.57,227.93,218.54,219.82,1641542,0.0,0.0,14.77,2.32,3.48,-2.11,246.27,
2023-03-29 00:00:00+05:30,220.51,237.32,220.51,234.01,2732107,0.0,0.0,30.58,29.72,11.88,6.46,246.36,
2023-03-31 00:00:00+05:30,241.28,247.61,235.45,238.16,2474772,0.0,0.0,34.38,37.7,23.25,1.77,246.72,
2023-04-03 00:00:00+05:30,240.04,251.02,237.87,247.51,1417582,0.0,0.0,45.14,65.84,44.42,3.92,247.78,
2023-04-05 00:00:00+05:30,249.73,253.89,246.22,250.18,2125823,0.0,0.0,51.49,73.31,58.95,1.08,248.29,
2023-04-06 00:00:00+05:30,249.19,252.65,247.71,249.19,701373,0.0,0.0,47.3,71.02,70.06,-0.4,247.43,
2023-04-10 00:00:00+05:30,250.18,252.75,244.44,245.88,593191,0.0,0.0,46.23,63.34,69.22,-1.33,245.97,
2023-04-11 00:00:00+05:30,246.03,247.56,238.56,239.3,878776,0.0,0.0,44.06,58.74,64.37,-2.67,244.6,
2023-04-12 00:00:00+05:30,240.59,245.04,238.31,241.63,946572,0.0,0.0,48.97,65.31,62.47,0.97,243.41,
2023-04-13 00:00:00+05:30,241.72,244.64,240.29,242.71,495055,0.0,0.0,45.59,68.39,64.15,0.45,242.75,
2023-04-17 00:00:00+05:30,241.77,248.2,240.54,245.58,811878,0.0,0.0,48.21,76.5,70.07,1.18,242.64,
2023-04-18 00:00:00+05:30,246.67,248.89,243.46,244.94,497794,0.0,0.0,49.83,74.69,73.19,-0.26,242.22,
2023-04-19 00:00:00+05:30,244.99,249.54,243.26,245.28,765711,0.0,0.0,58.94,75.66,75.62,0.14,241.9,
2023-04-20 00:00:00+05:30,246.27,258.98,244.94,256.56,3103454,0.0,0.0,74.79,94.01,81.45,4.6,242.27,
2023-04-21 00:00:00+05:30,257.1,257.1,247.76,250.82,1115255,0.0,0.0,73.66,78.79,82.82,-2.24,242.65,
2023-04-24 00:00:00+05:30,251.17,258.29,247.41,256.31,1193931,0.0,0.0,69.63,88.66,87.15,2.19,243.0,
2023-04-25 00:00:00+05:30,257.0,263.08,253.79,257.0,1795555,0.0,0.0,67.66,75.88,81.11,0.27,243.44,
